epoch,bottleneck_bn_loss,cate_output_categorical_accuracy,cate_output_loss,loss,lr
0,2.131286859512329,0.002170138992369175,47.944881439208984,50.076171875,0.000397822
1,2.950547933578491,0.011429398320615292,40.70671463012695,43.65725326538086,0.0003913367
2,2.862656831741333,0.0598958320915699,38.47242736816406,41.335079193115234,0.00038068893
3,2.52673602104187,0.17418982088565826,36.73956298828125,39.26630401611328,0.00036611655
4,2.27034330368042,0.29007524251937866,34.70130157470703,36.971656799316406,0.0003479451
5,2.1160826683044434,0.42086225748062134,32.316104888916016,34.432186126708984,0.0003265805
6,2.014901876449585,0.5441261529922485,29.569847106933594,31.584749221801758,0.0003025
7,1.946792483329773,0.6501736044883728,26.780155181884766,28.726940155029297,0.0002762415
8,1.8987942934036255,0.7508680820465088,24.187503814697266,26.086292266845703,0.0002483916
9,1.8720364570617676,0.8268229365348816,21.530508041381836,23.402544021606445,0.00021957236
10,1.856589674949646,0.8842592835426331,19.47804832458496,21.334638595581055,0.00019042763
11,1.8401039838790894,0.9309895634651184,17.100732803344727,18.940839767456055,0.00016160842
12,1.8355439901351929,0.9557291865348816,15.697453498840332,17.53299331665039,0.0001337585
13,1.827716588973999,0.9704861044883728,14.261521339416504,16.0892391204834,0.0001075
14,1.8240056037902832,0.9832175970077515,12.853965759277344,14.677973747253418,8.341949e-05
15,1.8204306364059448,0.9872685074806213,12.075840950012207,13.896270751953125,6.205488e-05
16,1.8214932680130005,0.9920428395271301,11.441102981567383,13.262596130371094,4.388344e-05
17,1.8179963827133179,0.9932002425193787,10.801946640014648,12.619939804077148,2.9311072e-05
18,1.8198282718658447,0.9968171119689941,10.350914001464844,12.170744895935059,1.8663302e-05
19,1.8141319751739502,0.9947916865348816,10.325749397277832,12.139883995056152,1.21779885e-05
20,1.8163079023361206,0.9827835559844971,12.49016284942627,14.306471824645996,0.000397822
21,1.8180333375930786,0.9646990895271301,13.164451599121094,14.98248291015625,0.0003913367
22,1.814180850982666,0.9730902910232544,11.428377151489258,13.242557525634766,0.00038068893
23,1.8114532232284546,0.9840856194496155,9.863121032714844,11.674574851989746,0.00036611655
24,1.8074612617492676,0.9918981194496155,8.277177810668945,10.084639549255371,0.0003479451
25,1.8047987222671509,0.9947916865348816,6.718451499938965,8.523249626159668,0.0003265805
26,1.7999628782272339,0.9971064925193787,5.571294784545898,7.371258735656738,0.0003025
27,1.8025588989257812,0.9985532164573669,4.581967830657959,6.384527683258057,0.0002762415
28,1.7993606328964233,0.9991319179534912,3.7688887119293213,5.568249702453613,0.0002483916
29,1.7981948852539062,0.9985532164573669,3.1704885959625244,4.96868371963501,0.00021957236
30,1.799715518951416,0.9986979365348816,2.5798938274383545,4.379610538482666,0.00019042763
31,1.793729305267334,0.9994212985038757,2.1267666816711426,3.9204952716827393,0.00016160842
32,1.7923271656036377,0.9997106194496155,1.7864603996276855,3.5787882804870605,0.0001337585
33,1.793408751487732,0.9991319179534912,1.56996750831604,3.363375663757324,0.0001075
34,1.787981390953064,0.9992766380310059,1.2754316329956055,3.06341290473938,8.341949e-05
35,1.7904934883117676,0.9989872574806213,1.236452341079712,3.0269455909729004,6.205488e-05
36,1.7889169454574585,0.9992766380310059,1.095719337463379,2.8846371173858643,4.388344e-05
37,1.7948533296585083,0.9997106194496155,1.0497496128082275,2.844602346420288,2.9311072e-05
38,1.7928000688552856,0.9995659589767456,0.9910717010498047,2.78387188911438,1.8663302e-05
39,1.7910597324371338,0.9997106194496155,0.9639705419540405,2.755030632019043,1.21779885e-05
40,1.797753930091858,0.9992766380310059,1.7324198484420776,3.5301742553710938,0.000397822
41,1.7948263883590698,0.9992766380310059,2.934990167617798,4.729816436767578,0.0003913367
42,1.7955546379089355,0.9985532164573669,3.008606195449829,4.804159641265869,0.00038068893
43,1.795759677886963,0.9989872574806213,2.672865390777588,4.468625545501709,0.00036611655
44,1.7987364530563354,0.9991319179534912,2.185821533203125,3.984557628631592,0.0003479451
45,1.7942039966583252,0.9988425970077515,1.8003761768341064,3.594581365585327,0.0003265805
46,1.792126178741455,0.9986979365348816,1.5081095695495605,3.3002355098724365,0.0003025
47,1.794209599494934,0.9995659589767456,1.154186487197876,2.9483962059020996,0.0002762415
48,1.7907122373580933,0.9995659589767456,0.9206717610359192,2.711383581161499,0.0002483916
49,1.7890366315841675,0.9986979365348816,0.8412907719612122,2.6303281784057617,0.00021957236
50,1.790582299232483,0.9994212985038757,0.6724430918693542,2.4630260467529297,0.00019042763
51,1.7892082929611206,0.9998553395271301,0.5848582983016968,2.3740663528442383,0.00016160842
52,1.7899444103240967,0.9991319179534912,0.5282668471336365,2.318211317062378,0.0001337585
53,1.7879631519317627,0.9994212985038757,0.44951093196868896,2.237474203109741,0.0001075
54,1.7895140647888184,0.9997106194496155,0.3765020966529846,2.166015386581421,8.341949e-05
55,1.7862496376037598,1.0,0.33165934681892395,2.1179087162017822,6.205488e-05
56,1.7855620384216309,0.9997106194496155,0.34529590606689453,2.1308579444885254,4.388344e-05
